Net Status Report
Filename     : C:\Users\Ryan\Real Documents\Engineering Projects\IEEE-Robot\IEEE_Robot_Mainboard\Motor_Control_Board.PcbDoc
Date         : 3/6/2016
Time         : 10:15:49 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetMTR2_8, Signal Layers Only, 3770.044mils
    NetMTR3_6, Signal Layers Only, 4605.148mils
    NetMTR3_8, Signal Layers Only, 4764.388mils
    NetMTR4_6, Signal Layers Only, 5301.297mils
    NetMTR4_8, Signal Layers Only, 5483.816mils
    NetOCLMC1_K, Signal Layers Only, 59.055mils
    NetOCLMC2_K, Signal Layers Only, 62.008mils
    NetOCLMC3_K, Signal Layers Only, 58.071mils
    NetOCLMC4_K, Signal Layers Only, 64.693mils
    NetOE_PWM_1, Signal Layers Only, 1433.816mils
    NetPHMC1_K, Signal Layers Only, 317.908mils
    NetPHMC2_K, Signal Layers Only, 380.621mils
    NetPHMC3_K, Signal Layers Only, 380.621mils
    NetPHMC4_K, Signal Layers Only, 380.621mils
    NetQ1MC1_G, Signal Layers Only, 577.824mils
    NetQ1MC2_G, Signal Layers Only, 577.824mils
    NetQ1MC3_G, Signal Layers Only, 577.824mils
    NetQ1MC4_G, Signal Layers Only, 577.824mils
    NetQ2MC1_G, Signal Layers Only, 1333.539mils
    NetQ2MC2_G, Signal Layers Only, 1339.625mils
    NetQ2MC3_G, Signal Layers Only, 1329.286mils
    NetQ2MC4_G, Signal Layers Only, 1328.152mils
    NetQ3MC1_G, Signal Layers Only, 1204.152mils
    NetQ3MC1_S, Signal Layers Only, 282.485mils
    NetQ3MC2_G, Signal Layers Only, 1204.152mils
    NetQ3MC2_S, Signal Layers Only, 289.041mils
    NetQ3MC3_G, Signal Layers Only, 1204.152mils
    NetQ3MC3_S, Signal Layers Only, 287.888mils
    NetQ3MC4_G, Signal Layers Only, 1204.152mils
    NetQ3MC4_S, Signal Layers Only, 286.209mils
    NetQ4MC1_G, Signal Layers Only, 1052.977mils
    NetQ4MC2_G, Signal Layers Only, 1052.977mils
    NetQ4MC3_G, Signal Layers Only, 1052.977mils
    NetQ4MC4_G, Signal Layers Only, 1052.977mils
    NetQ5_4, Signal Layers Only, 445.807mils
    NetQ5_5, Signal Layers Only, 1050.995mils
    NetQ6_1, Signal Layers Only, 1989.035mils
    NetQ7_1, Signal Layers Only, 1936.11mils
    NetQ8_1, Signal Layers Only, 1873.535mils
    NetQ9_1, Signal Layers Only, 2070.905mils
    NetR14_2, Signal Layers Only, 1539.505mils
    NetR18_2, Signal Layers Only, 1916.485mils
    NetR1MC1_2, Signal Layers Only, 319.96mils
    NetR1MC2_2, Signal Layers Only, 334.92mils
    NetR1MC3_2, Signal Layers Only, 321.254mils
    NetR1MC4_2, Signal Layers Only, 330.663mils
    NetR21_2, Signal Layers Only, 147.752mils
    NetR28_2, Signal Layers Only, 2395.584mils
    NetR32_2, Signal Layers Only, 2997.248mils
    NetR40_2, Signal Layers Only, 3419.026mils
    NetR44_2, Signal Layers Only, 3959.507mils
    NetR47_2, Signal Layers Only, 4507.597mils
    NetR51_2, Signal Layers Only, 4993.624mils
    NetR54MC1_1, Signal Layers Only, 94.658mils
    NetR54MC2_1, Signal Layers Only, 70.628mils
    NetR54MC3_1, Signal Layers Only, 62.621mils
    NetR54MC4_1, Signal Layers Only, 64.385mils
    NetTR1MC1_W, Signal Layers Only, 660.48mils
    NetTR1MC2_W, Signal Layers Only, 684.159mils
    NetTR1MC3_W, Signal Layers Only, 684.159mils
    NetTR1MC4_W, Signal Layers Only, 684.159mils
    PHASE1, Signal Layers Only, 1546.585mils
    PHASE2, Signal Layers Only, 1626.184mils
    PHASE3, Signal Layers Only, 1742.97mils
    PHASE4, Signal Layers Only, 2588.152mils
    RXD, Signal Layers Only, 2012.68mils
    SCL, Signal Layers Only, 6210.065mils
    SCL1, Signal Layers Only, 3777.325mils
    SDA, Signal Layers Only, 6472.114mils
    SDA1, Signal Layers Only, 4150.665mils
    SERVO_0, Signal Layers Only, 1220.138mils
    SERVO_1, Signal Layers Only, 1197.919mils
    SERVO_2, Signal Layers Only, 1197.919mils
    SERVO_3, Signal Layers Only, 1197.919mils
    SERVO_4, Signal Layers Only, 1197.919mils
    SERVO_B0, Signal Layers Only, 2091.239mils
    SERVO_B1, Signal Layers Only, 1721.362mils
    SERVO_B2, Signal Layers Only, 1230.16mils
    SERVO_B3, Signal Layers Only, 1229.141mils
    SERVO_B4, Signal Layers Only, 537.631mils
    SW0, Signal Layers Only, 264.088mils
    SW1, Signal Layers Only, 254.629mils
    SW2, Signal Layers Only, 283.531mils
    SW3, Signal Layers Only, 400.096mils
    SW4, Signal Layers Only, 396.978mils
    SW5, Signal Layers Only, 566.598mils
    SW6, Signal Layers Only, 697.633mils
    SW7, Signal Layers Only, 680.42mils
    SWO1, Signal Layers Only, 425.695mils
    SWO2, Signal Layers Only, 961.343mils
    SWO3, Signal Layers Only, 1379.86mils
    SWO4, Signal Layers Only, 2329.248mils
    TRIG_A_1, Signal Layers Only, 2545.5mils
    TRIG_A_2, Signal Layers Only, 2744.807mils
    TRIG_A_3, Signal Layers Only, 2622.365mils
    TRIG_A_4, Signal Layers Only, 2341.219mils
    TRIG_B_1, Signal Layers Only, 2492.755mils
    TRIG_B_2, Signal Layers Only, 2638.833mils
    TRIG_B_3, Signal Layers Only, 2802.31mils
    TRIG_B_4, Signal Layers Only, 2987.834mils
    TXD, Signal Layers Only, 1932.847mils
    VBAT, Signal Layers Only, 4895.203mils
count : 222
